Numero de electrones: 1
Numero de combinaciones: 10
[0][2][+1][0][-1] ML: 0 MS: 0
[0][2][+1][0][+1] ML: 0 MS: 1
[0][2][-1][-1][0] ML: 1 MS: -1
[0][2][-1][+1][0] ML: 1 MS: 0
[0][2][+1][-1][0] ML: 1 MS: 0
[0][2][+1][+1][0] ML: 1 MS: 1
[-1][0][0][-1][2] ML: -3 MS: -1
[-1][0][0][+1][2] ML: -3 MS: 0
[+1][0][0][-1][2] ML: -3 MS: 0
[+1][0][0][+1][2] ML: -3 MS: 1
[-1][0][0][2][-1] ML: -2 MS: -1
[-1][0][0][2][+1] ML: -2 MS: 0
[+1][0][0][2][-1] ML: -2 MS: 0
[+1][0][0][2][+1] ML: -2 MS: 1
[-1][0][-1][0][2] ML: -2 MS: -1
[-1][0][+1][0][2] ML: -2 MS: 0
[+1][0][-1][0][2] ML: -2 MS: 0
[+1][0][+1][0][2] ML: -2 MS: 1
[-1][0][-1][2][0] ML: 0 MS: -1
[-1][0][+1][2][0] ML: 0 MS: 0
[+1][0][-1][2][0] ML: 0 MS: 0
[+1][0][+1][2][0] ML: 0 MS: 1
[-1][0][2][0][-1] ML: 0 MS: -1
[-1][0][2][0][+1] ML: 0 MS: 0
[+1][0][2][0][-1] ML: 0 MS: 0
[+1][0][2][0][+1] ML: 0 MS: 1
[-1][0][2][-1][0] ML: 1 MS: -1
[-1][0][2][+1][0] ML: 1 MS: 0
[+1][0][2][-1][0] ML: 1 MS: 0
[+1][0][2][+1][0] ML: 1 MS: 1
[-1][-1][0][0][2] ML: -1 MS: -1
[-1][+1][0][0][2] ML: -1 MS: 0
[+1][-1][0][0][2] ML: -1 MS: 0
[+1][+1][0][0][2] ML: -1 MS: 1
[-1][-1][0][2][0] ML: 1 MS: -1
[-1][+1][0][2][0] ML: 1 MS: 0
[+1][-1][0][2][0] ML: 1 MS: 0
[+1][+1][0][2][0] ML: 1 MS: 1
[-1][-1][2][0][0] ML: 3 MS: -1
[-1][+1][2][0][0] ML: 3 MS: 0
[+1][-1][2][0][0] ML: 3 MS: 0
[+1][+1][2][0][0] ML: 3 MS: 1
[-1][2][0][0][-1] ML: 2 MS: -1
[-1][2][0][0][+1] ML: 2 MS: 0
[+1][2][0][0][-1] ML: 2 MS: 0
[+1][2][0][0][+1] ML: 2 MS: 1
[-1][2][0][-1][0] ML: 3 MS: -1
[-1][2][0][+1][0] ML: 3 MS: 0
[+1][2][0][-1][0] ML: 3 MS: 0
[+1][2][0][+1][0] ML: 3 MS: 1
[-1][2][-1][0][0] ML: 4 MS: -1
[-1][2][+1][0][0] ML: 4 MS: 0
[+1][2][-1][0][0] ML: 4 MS: 0
[+1][2][+1][0][0] ML: 4 MS: 1
[2][0][0][-1][-1] ML: 1 MS: -1
[2][0][0][-1][+1] ML: 1 MS: 0
[2][0][0][+1][-1] ML: 1 MS: 0
[2][0][0][+1][+1] ML: 1 MS: 1
[2][0][-1][0][-1] ML: 2 MS: -1
[2][0][-1][0][+1] ML: 2 MS: 0
[2][0][+1][0][-1] ML: 2 MS: 0
[2][0][+1][0][+1] ML: 2 MS: 1
[2][0][-1][-1][0] ML: 3 MS: -1
[2][0][-1][+1][0] ML: 3 MS: 0
[2][0][+1][-1][0] ML: 3 MS: 0
[2][0][+1][+1][0] ML: 3 MS: 1
[2][-1][0][0][-1] ML: 3 MS: -1
[2][-1][0][0][+1] ML: 3 MS: 0
[2][+1][0][0][-1] ML: 3 MS: 0
[2][+1][0][0][+1] ML: 3 MS: 1
[2][-1][0][-1][0] ML: 4 MS: -1
[2][-1][0][+1][0] ML: 4 MS: 0
[2][+1][0][-1][0] ML: 4 MS: 0
[2][+1][0][+1][0] ML: 4 MS: 1
[2][-1][-1][0][0] ML: 5 MS: -1
[2][-1][+1][0][0] ML: 5 MS: 0
[2][+1][-1][0][0] ML: 5 MS: 0
[2][+1][+1][0][0] ML: 5 MS: 1
[0][0][0][2][2] ML: -6 MS: 0
[0][0][2][0][2] ML: -4 MS: 0
[0][0][2][2][0] ML: -2 MS: 0
[0][2][0][0][2] ML: -2 MS: 0
[0][2][0][2][0] ML: 0 MS: 0
[0][2][2][0][0] ML: 2 MS: 0
[2][0][0][0][2] ML: 0 MS: 0
[2][0][0][2][0] ML: 2 MS: 0
[2][0][2][0][0] ML: 4 MS: 0
[2][2][0][0][0] ML: 6 MS: 0

Numero de electrones: 5
Numero de combinaciones: 252
[-1][-1][-1][-1][-1] ML: 0 MS: -5/2
[-1][-1][-1][-1][+1] ML: 0 MS: -3/2
[-1][-1][-1][+1][-1] ML: 0 MS: -3/2
[-1][-1][-1][+1][+1] ML: 0 MS: -1/2
[-1][-1][+1][-1][-1] ML: 0 MS: -3/2
[-1][-1][+1][-1][+1] ML: 0 MS: -1/2
[-1][-1][+1][+1][-1] ML: 0 MS: -1/2
[-1][-1][+1][+1][+1] ML: 0 MS: 1/2
[-1][+1][-1][-1][-1] ML: 0 MS: -3/2
[-1][+1][-1][-1][+1] ML: 0 MS: -1/2
[-1][+1][-1][+1][-1] ML: 0 MS: -1/2
[-1][+1][-1][+1][+1] ML: 0 MS: 1/2
[-1][+1][+1][-1][-1] ML: 0 MS: -1/2
[-1][+1][+1][-1][+1] ML: 0 MS: 1/2
[-1][+1][+1][+1][-1] ML: 0 MS: 1/2
[-1][+1][+1][+1][+1] ML: 0 MS: 3/2
[+1][-1][-1][-1][-1] ML: 0 MS: -3/2
[+1][-1][-1][-1][+1] ML: 0 MS: -1/2
[+1][-1][-1][+1][-1] ML: 0 MS: -1/2
[+1][-1][-1][+1][+1] ML: 0 MS: 1/2
[+1][-1][+1][-1][-1] ML: 0 MS: -1/2
[+1][-1][+1][-1][+1] ML: 0 MS: 1/2
[+1][-1][+1][+1][-1] ML: 0 MS: 1/2
[+1][-1][+1][+1][+1] ML: 0 MS: 3/2
[+1][+1][-1][-1][-1] ML: 0 MS: -1/2
[+1][+1][-1][-1][+1] ML: 0 MS: 1/2
[+1][+1][-1][+1][-1] ML: 0 MS: 1/2
[+1][+1][-1][+1][+1] ML: 0 MS: 3/2
[+1][+1][+1][-1][-1] ML: 0 MS: 1/2
[+1][+1][+1][-1][+1] ML: 0 MS: 3/2
[+1][+1][+1][+1][-1] ML: 0 MS: 3/2
[+1][+1][+1][+1][+1] ML: 0 MS: 5/2
[0][-1][-1][-1][2] ML: -4 MS: -3/2
[0][-1][-1][+1][2] ML: -4 MS: -1/2
[0][-1][+1][-1][2] ML: -4 MS: -1/2
[0][-1][+1][+1][2] ML: -4 MS: 1/2
[0][+1][-1][-1][2] ML: -4 MS: -1/2
[0][+1][-1][+1][2] ML: -4 MS: 1/2
[0][+1][+1][-1][2] ML: -4 MS: 1/2
[0][+1][+1][+1][2] ML: -4 MS: 3/2
[0][-1][-1][2][-1] ML: -3 MS: -3/2
[0][-1][-1][2][+1] ML: -3 MS: -1/2
[0][-1][+1][2][-1] ML: -3 MS: -1/2
[0][-1][+1][2][+1] ML: -3 MS: 1/2
[0][+1][-1][2][-1] ML: -3 MS: -1/2
[0][+1][-1][2][+1] ML: -3 MS: 1/2
[0][+1][+1][2][-1] ML: -3 MS: 1/2
[0][+1][+1][2][+1] ML: -3 MS: 3/2
[0][-1][2][-1][-1] ML: -2 MS: -3/2
[0][-1][2][-1][+1] ML: -2 MS: -1/2
[0][-1][2][+1][-1] ML: -2 MS: -1/2
[0][-1][2][+1][+1] ML: -2 MS: 1/2
[0][+1][2][-1][-1] ML: -2 MS: -1/2
[0][+1][2][-1][+1] ML: -2 MS: 1/2
[0][+1][2][+1][-1] ML: -2 MS: 1/2
[0][+1][2][+1][+1] ML: -2 MS: 3/2
[0][2][-1][-1][-1] ML: -1 MS: -3/2
[0][2][-1][-1][+1] ML: -1 MS: -1/2
[0][2][-1][+1][-1] ML: -1 MS: -1/2
[0][2][-1][+1][+1] ML: -1 MS: 1/2
[0][2][+1][-1][-1] ML: -1 MS: -1/2
[0][2][+1][-1][+1] ML: -1 MS: 1/2
[0][2][+1][+1][-1] ML: -1 MS: 1/2
[0][2][+1][+1][+1] ML: -1 MS: 3/2
[-1][0][-1][-1][2] ML: -3 MS: -3/2
[-1][0][-1][+1][2] ML: -3 MS: -1/2
[-1][0][+1][-1][2] ML: -3 MS: -1/2
[-1][0][+1][+1][2] ML: -3 MS: 1/2
[+1][0][-1][-1][2] ML: -3 MS: -1/2
[+1][0][-1][+1][2] ML: -3 MS: 1/2
[+1][0][+1][-1][2] ML: -3 MS: 1/2
[+1][0][+1][+1][2] ML: -3 MS: 3/2
[-1][0][-1][2][-1] ML: -2 MS: -3/2
[-1][0][-1][2][+1] ML: -2 MS: -1/2
[-1][0][+1][2][-1] ML: -2 MS: -1/2
[-1][0][+1][2][+1] ML: -2 MS: 1/2
[+1][0][-1][2][-1] ML: -2 MS: -1/2
[+1][0][-1][2][+1] ML: -2 MS: 1/2
[+1][0][+1][2][-1] ML: -2 MS: 1/2
[+1][0][+1][2][+1] ML: -2 MS: 3/2
[-1][0][2][-1][-1] ML: -1 MS: -3/2
[-1][0][2][-1][+1] ML: -1 MS: -1/2
[-1][0][2][+1][-1] ML: -1 MS: -1/2
[-1][0][2][+1][+1] ML: -1 MS: 1/2
[+1][0][2][-1][-1] ML: -1 MS: -1/2
[+1][0][2][-1][+1] ML: -1 MS: 1/2
[+1][0][2][+1][-1] ML: -1 MS: 1/2
[+1][0][2][+1][+1] ML: -1 MS: 3/2
[-1][-1][0][-1][2] ML: -2 MS: -3/2
[-1][-1][0][+1][2] ML: -2 MS: -1/2
[-1][+1][0][-1][2] ML: -2 MS: -1/2
[-1][+1][0][+1][2] ML: -2 MS: 1/2
[+1][-1][0][-1][2] ML: -2 MS: -1/2
[+1][-1][0][+1][2] ML: -2 MS: 1/2
[+1][+1][0][-1][2] ML: -2 MS: 1/2
[+1][+1][0][+1][2] ML: -2 MS: 3/2
[-1][-1][0][2][-1] ML: -1 MS: -3/2
[-1][-1][0][2][+1] ML: -1 MS: -1/2
[-1][+1][0][2][-1] ML: -1 MS: -1/2
[-1][+1][0][2][+1] ML: -1 MS: 1/2
[+1][-1][0][2][-1] ML: -1 MS: -1/2
[+1][-1][0][2][+1] ML: -1 MS: 1/2
[+1][+1][0][2][-1] ML: -1 MS: 1/2
[+1][+1][0][2][+1] ML: -1 MS: 3/2
[-1][-1][-1][0][2] ML: -1 MS: -3/2
[-1][-1][+1][0][2] ML: -1 MS: -1/2
[-1][+1][-1][0][2] ML: -1 MS: -1/2
[-1][+1][+1][0][2] ML: -1 MS: 1/2
[+1][-1][-1][0][2] ML: -1 MS: -1/2
[+1][-1][+1][0][2] ML: -1 MS: 1/2
[+1][+1][-1][0][2] ML: -1 MS: 1/2
[+1][+1][+1][0][2] ML: -1 MS: 3/2
[-1][-1][-1][2][0] ML: 1 MS: -3/2
[-1][-1][+1][2][0] ML: 1 MS: -1/2
[-1][+1][-1][2][0] ML: 1 MS: -1/2
[-1][+1][+1][2][0] ML: 1 MS: 1/2
[+1][-1][-1][2][0] ML: 1 MS: -1/2
[+1][-1][+1][2][0] ML: 1 MS: 1/2
[+1][+1][-1][2][0] ML: 1 MS: 1/2
[+1][+1][+1][2][0] ML: 1 MS: 3/2
[-1][-1][2][0][-1] ML: 1 MS: -3/2
[-1][-1][2][0][+1] ML: 1 MS: -1/2
[-1][+1][2][0][-1] ML: 1 MS: -1/2
[-1][+1][2][0][+1] ML: 1 MS: 1/2
[+1][-1][2][0][-1] ML: 1 MS: -1/2
[+1][-1][2][0][+1] ML: 1 MS: 1/2
[+1][+1][2][0][-1] ML: 1 MS: 1/2
[+1][+1][2][0][+1] ML: 1 MS: 3/2
[-1][-1][2][-1][0] ML: 2 MS: -3/2
[-1][-1][2][+1][0] ML: 2 MS: -1/2
[-1][+1][2][-1][0] ML: 2 MS: -1/2
